"9","16711680","I491N MEP493","","66.0","74.5","86.0",""
"10","16711808","I491M MEP494","","74.2","85.2","",""
"11","8355711","NTC","","76.0","89.0","",""
"12","4227072","WT I491 MEP491-2","","68.2","77.0","86.5",""
"13","255","I491F MEP492-2","","74.5","86.0","",""
"14","16711680","I491N MEP493","","67.0","74.7","86.5",""
"15","16711808","I491M MEP494","","74.5","85.5","",""
"16","16777215","","","68.7","73.5","80.8","88.7"



"Melt analysis of Melt A.ex green em green 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3"
"1","8421504","NTC","","76.0","",""
"2","4227072","WT I491 MEP491-2","","76.0","85.3",""
"3","255","I491F MEP492-2","","73.3","85.5",""
"4","16711680","I491N MEP493","","73.5","85.3",""
"5","16711808","I491M MEP494","","73.0","84.5",""
"6","8355711","NTC","","72.5","76.5",""
"7","4227072","WT I491 MEP491-2","","66.8","76.0","85.8"
"8","255","I491F MEP492-2","","67.3","73.7","85.5"
"9","16711680","I491N MEP493","","73.8","85.7",""
"10","16711808","I491M MEP494","","73.5","84.7",""
"11","8355711","NTC","","66.2","76.0","91.8"
"12","4227072","WT I491 MEP491-2","","76.2","86.2",""
"13","255","I491F MEP492-2","","73.5","85.8",""
"14","16711680","I491N MEP493","","74.0","86.0",""
"15","16711808","I491M MEP494","","73.7","85.3",""
"16","16777215","","","72.5","84.7",""



