"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-10-03 Expt 312 Middle Rotorgene 1c step 5s hold.rex"
"Date","10/3/2024"
"Time","1:20:22 PM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"
"Cycling A.ex green em green 7 (Page 1)","0.15142"

"Melt analysis of Melt A.ex green em orange 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"3","255","I491F MEP492-2 B","","74.0","85.5","","","",""
"4","16711680","I491N MEP493","","74.0","85.3","","","",""
"5","16711808","I491M MEP494","","73.5","84.2","","","",""
"6","8421504","NTC","","74.3","84.0","","","",""
"7","32768","WT I491 MEP491-2","","76.5","85.2","","","",""
"8","255","I491F MEP492-2 B","","66.8","74.0","85.5","","",""
"9","16711680","I491N MEP493","","74.0","85.3","","","",""
"10","16711808","I491M MEP494","","73.5","84.8","","","",""
"11","8421504","NTC","","77.3","","","","",""
"12","32768","WT I491 MEP491-2","","67.0","77.2","85.5","","",""
"13","255","I491F MEP492-2 B","","74.2","85.7","","","",""
"14","16711680","I491N MEP493","","65.8","74.3","86.0","","",""
"15","16711808","I491M MEP494","","74.0","85.0","","","",""
"27","16777215","","","70.2","76.5","84.0","90.5","",""
"28","16777215","","","70.8","76.0","84.3","88.0","93.2",""
"29","16777215","","","70.0","75.5","79.8","87.3","93.3",""
"30","16777215","","","69.0","76.5","81.2","86.2","89.0","93.3"
"31","16777215","","","72.7","76.3","81.5","85.3","92.8",""
"32","16777215","","","69.0","71.8","77.5","84.0","88.5","93.5"
"33","16777215","","","70.0","76.5","84.2","88.5","",""
"34","16777215","","","68.5","75.0","84.7","90.0","",""
"35","16777215","","","69.5","76.0","81.5","86.0","89.3",""
"36","16777215","","","68.0","74.5","80.7","84.5","87.3","92.7"



"Melt analysis of Melt A.ex green em orange 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","75.5","93.3","","","","",""
"2","32768","WT I491 MEP491-2","","71.0","76.0","84.8","","","",""
"3","255","I491F MEP492-2 B","","76.0","85.0","91.3","","","",""
"4","16711680","I491N MEP493","","67.3","75.5","86.0","","","",""
"5","16711808","I491M MEP494","","75.5","84.5","","","","",""
"6","8421504","NTC","","76.0","83.7","","","","",""
"7","32768","WT I491 MEP491-2","","75.8","85.0","93.5","","","",""
"8","255","I491F MEP492-2 B","","75.5","84.5","91.3","","","",""
"9","16711680","I491N MEP493","","70.0","75.3","84.8","","","",""
"10","16711808","I491M MEP494","","67.3","76.0","85.0","93.5","","",""
"11","8421504","NTC","","69.0","76.2","84.7","90.0","","",""
"12","32768","WT I491 MEP491-2","","69.0","76.7","85.5","90.8","","",""
"13","255","I491F MEP492-2 B","","67.5","76.0","85.8","","","",""
"14","16711680","I491N MEP493","","68.8","76.3","85.7","91.7","","",""
"15","16711808","I491M MEP494","","66.5","76.2","85.0","","","",""
"27","16777215","","","69.0","73.5","79.2","85.3","92.2","",""
"28","16777215","","","68.8","74.3","76.2","81.0","87.5","92.8",""
"29","16777215","","","75.8","80.5","84.5","","","",""
"30","16777215","","","68.5","70.3","75.8","80.3","84.3","89.0",""
"31","16777215","","","82.7","","","","","",""
"32","16777215","","","67.8","74.2","79.5","83.8","88.8","91.3",""
"33","16777215","","","68.2","73.0","76.5","80.8","84.7","89.8","94.0"
"34","16777215","","","67.7","71.3","76.7","81.5","88.0","92.2",""
"35","16777215","","","69.0","73.5","78.3","85.5","88.5","",""
"36","16777215","","","66.5","71.3","75.5","83.3","89.2","",""



"Melt analysis of Melt A.ex green em orange 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","70.3","75.2","92.5","","","",""
"2","32768","WT I491 MEP491-2","","67.3","75.0","85.0","","","",""
"3","255","I491F MEP492-2 B","","75.0","84.8","91.2","","","",""
"4","16711680","I491N MEP493","","75.0","85.2","","","","",""
"5","16711808","I491M MEP494","","74.3","84.3","","","","",""
"6","8421504","NTC","","75.0","83.3","","","","",""
"7","32768","WT I491 MEP491-2","","75.3","85.0","","","","",""
"8","255","I491F MEP492-2 B","","75.2","84.5","90.8","","","",""
"9","16711680","I491N MEP493","","75.0","85.2","90.5","","","",""
"10","16711808","I491M MEP494","","75.2","84.3","92.2","","","",""
"11","8421504","NTC","","67.5","71.0","75.8","86.2","","",""
"12","32768","WT I491 MEP491-2","","69.3","75.7","85.2","","","",""
"13","255","I491F MEP492-2 B","","67.8","75.5","84.7","89.0","","",""
"14","16711680","I491N MEP493","","75.5","85.0","","","","",""
"15","16711808","I491M MEP494","","75.0","84.2","89.5","","","",""
"27","16777215","","","68.3","74.7","82.2","87.0","92.8","",""
"28","16777215","","","68.7","73.2","76.3","80.5","83.5","",""
"29","16777215","","","69.0","72.5","78.8","84.0","","",""
"30","16777215","","","82.7","87.5","","","","",""
"31","16777215","","","67.2","71.2","75.8","79.7","82.7","87.0","92.3"
"32","16777215","","","69.5","75.5","79.7","85.7","","",""
"33","16777215","","","68.5","72.5","76.5","79.5","86.2","91.0",""
"34","16777215","","","68.0","72.5","77.8","83.3","89.0","92.7",""
"35","16777215","","","69.3","75.5","81.2","87.5","92.5","",""
"36","16777215","","","68.8","73.5","79.3","84.5","89.5","",""



"Quantitative analysis of Cycling A.ex green em green 7 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","","","","","","","","","",""
"2","32768","WT I491 MEP491-2","Unknown","19.89","","","","","20.41","0.49","[19.21 , 21.62]","",""
