"8","255","I491F MEP492-2 B","","67.3","74.2","85.7","","",""
"9","16711680","I491N MEP493","","74.0","85.5","","","",""
"10","16711808","I491M MEP494","","74.0","84.8","","","",""
"11","8421504","NTC","","69.3","76.0","","","",""
"12","32768","WT I491 MEP491-2","","66.0","77.0","85.8","","",""
"13","255","I491F MEP492-2 B","","74.3","86.0","","","",""
"14","16711680","I491N MEP493","","74.0","85.8","","","",""
"15","16711808","I491M MEP494","","74.0","85.2","","","",""
"27","16777215","","","67.5","70.5","74.5","78.2","83.5","89.8"
"28","16777215","","","69.3","74.5","80.7","86.8","",""
"29","16777215","","","66.3","74.3","78.8","82.7","86.7","90.3"
"30","16777215","","","68.2","73.8","80.5","84.0","88.7","92.3"
"31","16777215","","","68.5","76.3","79.0","85.5","88.5","92.5"
"32","16777215","","","67.7","74.3","81.5","86.5","89.0",""
"33","16777215","","","68.8","79.0","82.3","90.2","",""
"34","16777215","","","69.3","74.5","78.8","84.5","88.8",""
"35","16777215","","","68.5","74.7","78.7","83.0","88.0","91.0"
"36","16777215","","","68.0","75.0","78.8","83.7","87.2",""



"Melt analysis of Melt A.ex green em green 7 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","67.5","76.5","86.3","93.2","",""
"2","32768","WT I491 MEP491-2","","76.3","85.0","","","",""
"3","255","I491F MEP492-2 B","","66.5","73.5","85.3","","",""
"4","16711680","I491N MEP493","","68.5","73.7","85.0","","",""
"5","16711808","I491M MEP494","","73.5","84.5","","","",""
"6","8421504","NTC","","75.0","83.7","86.8","91.8","",""
"7","32768","WT I491 MEP491-2","","76.5","85.2","","","",""
"8","255","I491F MEP492-2 B","","73.7","85.5","","","",""
"9","16711680","I491N MEP493","","73.8","85.3","","","",""
"10","16711808","I491M MEP494","","66.5","73.7","84.7","","",""
"11","8421504","NTC","","75.8","","","","",""
"12","32768","WT I491 MEP491-2","","76.5","85.7","","","",""
"13","255","I491F MEP492-2 B","","74.0","85.8","","","",""
"14","16711680","I491N MEP493","","67.3","74.0","85.7","","",""
"15","16711808","I491M MEP494","","73.8","85.0","","","",""
"27","16777215","","","67.5","73.3","78.7","85.5","88.8",""
"28","16777215","","","70.0","74.0","78.5","84.3","91.7",""
"29","16777215","","","69.5","74.7","80.5","85.0","89.7",""
"30","16777215","","","68.2","75.2","79.0","84.0","89.5",""
"31","16777215","","","71.3","76.8","83.0","88.0","",""
"32","16777215","","","66.5","71.8","78.8","86.2","92.8",""
"33","16777215","","","67.5","73.8","80.8","84.8","90.5",""
"34","16777215","","","68.0","73.3","76.5","84.5","88.8","93.3"
"35","16777215","","","65.8","75.0","79.5","83.8","91.3",""
"36","16777215","","","67.2","71.3","76.0","79.3","83.2","88.8"



"Melt analysis of Melt A.ex green em orange 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","70.8","75.8","","","","",""
"2","32768","WT I491 MEP491-2","","67.5","76.0","85.5","91.0","","",""
"3","255","I491F MEP492-2 B","","75.5","85.0","","","","",""
"4","16711680","I491N MEP493","","67.8","75.0","86.3","","","",""
"5","16711808","I491M MEP494","","75.2","83.8","","","","",""
"6","8421504","NTC","","67.0","75.5","","","","",""
"7","32768","WT I491 MEP491-2","","68.5","75.8","85.5","89.5","","",""
"8","255","I491F MEP492-2 B","","68.7","75.8","85.5","","","",""
"9","16711680","I491N MEP493","","75.5","86.0","","","","",""
"10","16711808","I491M MEP494","","67.0","75.8","84.7","","","",""
"11","8421504","NTC","","66.0","75.8","","","","",""
"12","32768","WT I491 MEP491-2","","69.5","76.0","85.3","","","",""
"13","255","I491F MEP492-2 B","","69.5","75.8","85.8","92.5","","",""
"14","16711680","I491N MEP493","","68.2","76.0","85.2","","","",""
"15","16711808","I491M MEP494","","67.0","76.2","85.2","","","",""
"27","16777215","","","68.0","71.0","76.3","78.7","83.5","88.8","93.8"
"28","16777215","","","82.5","92.0","","","","",""
"29","16777215","","","68.7","74.7","79.8","84.8","89.5","",""
"30","16777215","","","67.0","73.0","74.5","78.3","83.0","88.5",""
"31","16777215","","","67.3","71.0","78.5","83.0","89.5","",""
"32","16777215","","","67.5","71.3","74.8","80.5","86.0","",""
"33","16777215","","","67.2","71.8","76.7","81.5","86.5","92.5",""
"34","16777215","","","67.3","70.3","75.8","79.0","82.7","86.7","91.0"
"35","16777215","","","67.5","74.0","78.5","83.2","86.5","90.7",""
"36","16777215","","","","","","","","",""



"Melt analysis of Melt A.ex green em orange 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","75.2","","","","",""
"2","32768","WT I491 MEP491-2","","67.8","75.5","84.7","90.3","",""
"3","255","I491F MEP492-2 B","","71.0","74.8","84.5","","",""
"4","16711680","I491N MEP493","","69.8","74.7","84.2","","",""
"5","16711808","I491M MEP494","","70.5","74.7","83.8","89.0","",""
"6","8421504","NTC","","75.2","","","","",""
"7","32768","WT I491 MEP491-2","","69.5","75.8","85.2","89.3","",""
"8","255","I491F MEP492-2 B","","68.7","75.0","85.8","","",""
"9","16711680","I491N MEP493","","69.7","75.5","86.0","","",""
"10","16711808","I491M MEP494","","75.0","84.5","","","",""
"11","8421504","NTC","","70.2","75.5","","","",""
"12","32768","WT I491 MEP491-2","","67.7","76.0","85.2","94.0","",""
"13","255","I491F MEP492-2 B","","75.5","85.3","91.2","","",""
"14","16711680","I491N MEP493","","69.7","75.3","84.7","94.0","",""
"15","16711808","I491M MEP494","","69.2","74.8","84.2","","",""
"27","16777215","","","69.8","78.0","84.7","89.2","",""
"28","16777215","","","77.8","83.5","87.8","","",""
"29","16777215","","","68.0","72.3","76.7","80.3","87.5","91.8"
"30","16777215","","","68.0","74.2","79.2","85.7","89.3",""
"31","16777215","","","78.2","86.2","","","",""
"32","16777215","","","66.0","72.0","78.0","","",""
"33","16777215","","","70.0","78.0","86.0","","",""
"34","16777215","","","70.8","72.5","78.8","84.3","90.0",""
"35","16777215","","","72.0","78.2","85.5","89.2","",""
"36","16777215","","","67.7","73.3","78.7","83.5","88.8",""



